,real_0,real_1,real_2,imag_0,imag_1,imag_2
0,-0.15154747286265663,0.22188258817043466,0.22188258817043466,0.0,0.3799735520608736,-0.3799735520608736
1,-0.12093533919834973,0.20304858710797657,0.20304858710797657,0.0,0.4457019674703057,-0.4457019674703057
2,-0.16605044028818103,0.24709369987170757,0.24709369987170757,0.0,0.3339943323444722,-0.3339943323444722
3,-0.1546481442793692,0.2338563462797243,0.2338563462797243,0.0,0.36871982989964547,-0.36871982989964547
4,-0.14575650847274796,0.21103306002551886,0.21103306002551886,0.0,0.3854650177739781,-0.3854650177739781
5,-0.1293407491979458,0.21993852908652894,0.21993852908652894,0.0,0.4322752101430661,-0.4322752101430661
6,-0.15209060525800205,0.22208685204767253,0.22208685204767253,0.0,0.3773304555839593,-0.3773304555839593
7,-0.15060033147549548,0.22216396365659422,0.22216396365659422,0.0,0.3784346611274552,-0.3784346611274552
8,-0.1493311100665828,0.2369628141031566,0.2369628141031566,0.0,0.374684200872451,-0.374684200872451
9,-0.1471896760035069,0.22601836561257505,0.22601836561257505,0.0,0.38353561430291766,-0.38353561430291766
10,-0.17129108949046995,0.24519327845942637,0.24519327845942637,0.0,0.3271162096923515,-0.3271162096923515
11,-0.14485102678456988,0.23680772685241142,0.23680772685241142,0.0,0.38297240560050777,-0.38297240560050777
12,-0.13551242169083655,0.2058890575134152,0.2058890575134152,0.0,0.40671906025042726,-0.40671906025042726
13,-0.15116859181513234,0.24028387565465675,0.24028387565465675,0.0,0.37295577894565957,-0.37295577894565957
14,-0.16224739439774083,0.23393993349429243,0.23393993349429243,0.0,0.3584452167923415,-0.3584452167923415
15,-0.16017619243733125,0.24305698924577213,0.24305698924577213,0.0,0.3432359017166942,-0.3432359017166942
16,-0.17253157009940823,0.22456251571498492,0.22456251571498492,0.0,0.33710966717087776,-0.33710966717087776
17,-0.165132912136359,0.23202956369194833,0.23202956369194833,0.0,0.35081959385224915,-0.35081959385224915
18,-0.1416398626150042,0.2331652111788961,0.2331652111788961,0.0,0.39756005568514613,-0.39756005568514613
19,-0.16355220766015446,0.2291666537994498,0.2291666537994498,0.0,0.35366416707226744,-0.35366416707226744
20,0.006003737427079729,0.006003737427079729,0.853406889345392,0.02957195750956483,-0.02957195750956483,0.0
21,0.005498812932561463,0.005498812932561463,0.5757182996091712,0.025538907990068107,-0.025538907990068107,0.0
22,0.004002797546396358,0.004002797546396358,0.4766354210239865,0.022981005585290967,-0.022981005585290967,0.0
23,0.003870065627258308,0.003870065627258308,0.5544843960103343,0.02370221319238568,-0.02370221319238568,0.0
24,0.005508631065496881,0.005508631065496881,0.8001031074767104,0.028839040070498874,-0.028839040070498874,0.0
25,0.005314046711596144,0.005314046711596144,0.7118935124418604,0.027683709062456475,-0.027683709062456475,0.0
26,0.005238492271739981,0.005238492271739981,0.6003107957790594,0.025989773308888395,-0.025989773308888395,0.0
27,0.0035387424177002616,0.0035387424177002616,0.4048923656122081,0.019041957276931462,-0.019041957276931462,0.0
28,0.005898997382474554,0.005898997382474554,0.5896197720963691,0.02570860596201215,-0.02570860596201215,0.0
29,0.008735740016248694,0.008735740016248694,0.9763432271668333,0.031099212280177844,-0.031099212280177844,0.0
30,0.002374648581830808,0.002374648581830808,0.3899433491048102,0.017211900667656217,-0.017211900667656217,0.0
31,0.005537509465361802,0.005537509465361802,0.7177400587503674,0.027783936511352757,-0.027783936511352757,0.0
32,0.003627196955113168,0.003627196955113168,0.384167884311488,0.017174632815230764,-0.017174632815230764,0.0
33,0.006055531626713083,0.006055531626713083,0.7759212191113983,0.028497063023238203,-0.028497063023238203,0.0
34,0.0024969791013985387,0.0024969791013985387,0.3913608429803558,0.016891726032016104,-0.016891726032016104,0.0
35,0.006904319267326038,0.006904319267326038,0.8152448190614024,0.028770208307455622,-0.028770208307455622,0.0
36,0.005391672293663649,0.005391672293663649,0.6422998543121605,0.026511909454328405,-0.026511909454328405,0.0
37,0.002753016076700324,0.002753016076700324,0.3740754318597622,0.014086204171321299,-0.014086204171321299,0.0
38,0.005699042964364694,0.005699042964364694,0.8546887985238525,0.02947099634234528,-0.02947099634234528,0.0
39,0.005527373931596849,0.005527373931596849,0.7927889242162076,0.028762302282705095,-0.028762302282705095,0.0
40,-0.15415880173481117,0.00872237029547645,0.19860397847847394,0.0,0.0,0.0
41,-0.17974194183285663,0.010154010269677133,0.23301135344635876,0.0,0.0,0.0
42,-0.20089787062377648,0.01404028846762078,0.25940511127983706,0.0,0.0,0.0
43,-0.17156062059129915,0.015216601617316309,0.22742737904011825,0.0,0.0,0.0
44,-0.13898486460198622,0.020593335588413236,0.176573804448484,0.0,0.0,0.0
45,-0.17909469646722434,0.015208466007513837,0.2284906924415783,0.0,0.0,0.0
46,-0.13293517457805287,0.02011856258550889,0.15713839491583043,0.0,0.0,0.0
47,-0.1615884765631035,0.017080671470679463,0.22047827883830304,0.0,0.0,0.0
48,-0.14318629111215703,0.018392150605021054,0.17983145319239893,0.0,0.0,0.0
49,-0.19928682581350485,0.005956539138384094,0.2711005651778895,0.0,0.0,0.0
50,-0.10879228623914806,0.01474346841037235,0.15509802276268922,0.0,0.0,0.0
51,-0.1782971863402189,0.007395060877085802,0.2538072565792202,0.0,0.0,0.0
52,0.20801979979284183,0.012298853262123549,-0.14781336867328512,0.0,0.0,0.0
53,0.12661869063910458,-0.10770883336401807,0.025774863544249897,0.0,0.0,0.0
54,-0.14811412572423646,0.01265634309043645,0.18270120527383835,0.0,0.0,0.0
55,-0.15858005728064992,0.009971809650208614,0.19801835672974638,0.0,0.0,0.0
56,0.14046810882702782,0.01793285138524524,-0.1066185783212124,0.0,0.0,0.0
57,0.18912491035991644,0.009614204593122988,-0.14142862802151954,0.0,0.0,0.0
58,0.2444229619928081,0.010577763011426183,-0.16897506994049574,0.0,0.0,0.0
59,0.20326347197139558,0.01046908325394134,-0.15183796903706503,0.0,0.0,0.0
